NAME,B03002_004E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",21,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",25,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",132,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",55,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",74,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",0,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",54,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",42,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",41,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",123,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",11,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",22,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",71,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",198,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",12,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",54,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",263,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",116,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",32,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",214,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",13,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",72,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",271,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",93,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,34,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,201,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,11,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,39,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,269,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,105,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,45,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,181,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,26,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,31,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,294,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,34,17,031,110502,2023
