NAME,B15003_023E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",401,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",406,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",199,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",489,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",238,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",239,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",364,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",204,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",465,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",269,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",252,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",363,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",276,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",132,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",374,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",356,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",517,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",275,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",279,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",129,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",420,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",371,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",523,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",272,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,382,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,108,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,421,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,357,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,490,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,361,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,522,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,132,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,437,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,391,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,493,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,367,17,031,110502,2023
