NAME,B22003_002E,state,county,tract,YEAR
"Census Tract 1104, Cook County, Illinois",67,17,031,110400,2018
"Census Tract 1105.01, Cook County, Illinois",121,17,031,110501,2018
"Census Tract 1105.02, Cook County, Illinois",254,17,031,110502,2018
"Census Tract 1101, Cook County, Illinois",115,17,031,110100,2018
"Census Tract 1102, Cook County, Illinois",194,17,031,110200,2018
"Census Tract 1103, Cook County, Illinois",207,17,031,110300,2018
"Census Tract 1101, Cook County, Illinois",145,17,031,110100,2019
"Census Tract 1102, Cook County, Illinois",130,17,031,110200,2019
"Census Tract 1105.01, Cook County, Illinois",170,17,031,110501,2019
"Census Tract 1105.02, Cook County, Illinois",246,17,031,110502,2019
"Census Tract 1103, Cook County, Illinois",252,17,031,110300,2019
"Census Tract 1104, Cook County, Illinois",62,17,031,110400,2019
"Census Tract 1101, Cook County, Illinois",106,17,031,110100,2020
"Census Tract 1102, Cook County, Illinois",285,17,031,110200,2020
"Census Tract 1103, Cook County, Illinois",150,17,031,110300,2020
"Census Tract 1104, Cook County, Illinois",88,17,031,110400,2020
"Census Tract 1105.01, Cook County, Illinois",90,17,031,110501,2020
"Census Tract 1105.02, Cook County, Illinois",171,17,031,110502,2020
"Census Tract 1101, Cook County, Illinois",186,17,031,110100,2021
"Census Tract 1102, Cook County, Illinois",289,17,031,110200,2021
"Census Tract 1103, Cook County, Illinois",163,17,031,110300,2021
"Census Tract 1104, Cook County, Illinois",80,17,031,110400,2021
"Census Tract 1105.01, Cook County, Illinois",141,17,031,110501,2021
"Census Tract 1105.02, Cook County, Illinois",193,17,031,110502,2021
Census Tract 1101; Cook County; Illinois,140,17,031,110100,2022
Census Tract 1102; Cook County; Illinois,243,17,031,110200,2022
Census Tract 1103; Cook County; Illinois,138,17,031,110300,2022
Census Tract 1104; Cook County; Illinois,151,17,031,110400,2022
Census Tract 1105.01; Cook County; Illinois,167,17,031,110501,2022
Census Tract 1105.02; Cook County; Illinois,174,17,031,110502,2022
Census Tract 1101; Cook County; Illinois,173,17,031,110100,2023
Census Tract 1102; Cook County; Illinois,218,17,031,110200,2023
Census Tract 1103; Cook County; Illinois,116,17,031,110300,2023
Census Tract 1104; Cook County; Illinois,137,17,031,110400,2023
Census Tract 1105.01; Cook County; Illinois,165,17,031,110501,2023
Census Tract 1105.02; Cook County; Illinois,137,17,031,110502,2023
