NAME,B25003_003E,state,county,tract,YEAR
"Census Tract 1601, Cook County, Illinois",468,17,031,160100,2018
"Census Tract 1602, Cook County, Illinois",389,17,031,160200,2018
"Census Tract 1603, Cook County, Illinois",1035,17,031,160300,2018
"Census Tract 1604, Cook County, Illinois",947,17,031,160400,2018
"Census Tract 1605.01, Cook County, Illinois",708,17,031,160501,2018
"Census Tract 1605.02, Cook County, Illinois",720,17,031,160502,2018
"Census Tract 1606.01, Cook County, Illinois",683,17,031,160601,2018
"Census Tract 1606.02, Cook County, Illinois",806,17,031,160602,2018
"Census Tract 1607, Cook County, Illinois",1234,17,031,160700,2018
"Census Tract 1608, Cook County, Illinois",1071,17,031,160800,2018
"Census Tract 1609, Cook County, Illinois",525,17,031,160900,2018
"Census Tract 1610, Cook County, Illinois",363,17,031,161000,2018
"Census Tract 1611, Cook County, Illinois",228,17,031,161100,2018
"Census Tract 1612, Cook County, Illinois",377,17,031,161200,2018
"Census Tract 1613, Cook County, Illinois",916,17,031,161300,2018
"Census Tract 1601, Cook County, Illinois",448,17,031,160100,2019
"Census Tract 1602, Cook County, Illinois",429,17,031,160200,2019
"Census Tract 1603, Cook County, Illinois",994,17,031,160300,2019
"Census Tract 1604, Cook County, Illinois",913,17,031,160400,2019
"Census Tract 1605.01, Cook County, Illinois",749,17,031,160501,2019
"Census Tract 1605.02, Cook County, Illinois",780,17,031,160502,2019
"Census Tract 1606.01, Cook County, Illinois",665,17,031,160601,2019
"Census Tract 1606.02, Cook County, Illinois",782,17,031,160602,2019
"Census Tract 1607, Cook County, Illinois",1342,17,031,160700,2019
"Census Tract 1608, Cook County, Illinois",1095,17,031,160800,2019
"Census Tract 1609, Cook County, Illinois",557,17,031,160900,2019
"Census Tract 1610, Cook County, Illinois",332,17,031,161000,2019
"Census Tract 1611, Cook County, Illinois",169,17,031,161100,2019
"Census Tract 1612, Cook County, Illinois",366,17,031,161200,2019
"Census Tract 1613, Cook County, Illinois",880,17,031,161300,2019
"Census Tract 1601, Cook County, Illinois",371,17,031,160100,2020
"Census Tract 1602, Cook County, Illinois",381,17,031,160200,2020
"Census Tract 1603, Cook County, Illinois",938,17,031,160300,2020
"Census Tract 1604, Cook County, Illinois",895,17,031,160400,2020
"Census Tract 1605.01, Cook County, Illinois",628,17,031,160501,2020
"Census Tract 1605.02, Cook County, Illinois",826,17,031,160502,2020
"Census Tract 1606.01, Cook County, Illinois",719,17,031,160601,2020
"Census Tract 1606.02, Cook County, Illinois",746,17,031,160602,2020
"Census Tract 1607, Cook County, Illinois",1346,17,031,160700,2020
"Census Tract 1608, Cook County, Illinois",1092,17,031,160800,2020
"Census Tract 1609, Cook County, Illinois",495,17,031,160900,2020
"Census Tract 1610, Cook County, Illinois",381,17,031,161000,2020
"Census Tract 1611, Cook County, Illinois",189,17,031,161100,2020
"Census Tract 1612, Cook County, Illinois",434,17,031,161200,2020
"Census Tract 1613, Cook County, Illinois",822,17,031,161300,2020
"Census Tract 1601, Cook County, Illinois",376,17,031,160100,2021
"Census Tract 1602, Cook County, Illinois",390,17,031,160200,2021
"Census Tract 1603, Cook County, Illinois",903,17,031,160300,2021
"Census Tract 1604, Cook County, Illinois",992,17,031,160400,2021
"Census Tract 1605.01, Cook County, Illinois",737,17,031,160501,2021
"Census Tract 1605.02, Cook County, Illinois",762,17,031,160502,2021
"Census Tract 1606.01, Cook County, Illinois",695,17,031,160601,2021
"Census Tract 1606.02, Cook County, Illinois",703,17,031,160602,2021
"Census Tract 1607, Cook County, Illinois",1312,17,031,160700,2021
"Census Tract 1608, Cook County, Illinois",1092,17,031,160800,2021
"Census Tract 1609, Cook County, Illinois",466,17,031,160900,2021
"Census Tract 1610, Cook County, Illinois",364,17,031,161000,2021
"Census Tract 1611, Cook County, Illinois",196,17,031,161100,2021
"Census Tract 1612, Cook County, Illinois",434,17,031,161200,2021
"Census Tract 1613, Cook County, Illinois",905,17,031,161300,2021
Census Tract 1601; Cook County; Illinois,354,17,031,160100,2022
Census Tract 1602; Cook County; Illinois,391,17,031,160200,2022
Census Tract 1603; Cook County; Illinois,1055,17,031,160300,2022
Census Tract 1604; Cook County; Illinois,1113,17,031,160400,2022
Census Tract 1605.01; Cook County; Illinois,762,17,031,160501,2022
Census Tract 1605.02; Cook County; Illinois,713,17,031,160502,2022
Census Tract 1606.01; Cook County; Illinois,666,17,031,160601,2022
Census Tract 1606.02; Cook County; Illinois,671,17,031,160602,2022
Census Tract 1607; Cook County; Illinois,1342,17,031,160700,2022
Census Tract 1608; Cook County; Illinois,1045,17,031,160800,2022
Census Tract 1609; Cook County; Illinois,398,17,031,160900,2022
Census Tract 1610; Cook County; Illinois,407,17,031,161000,2022
Census Tract 1611; Cook County; Illinois,183,17,031,161100,2022
Census Tract 1612; Cook County; Illinois,441,17,031,161200,2022
Census Tract 1613; Cook County; Illinois,928,17,031,161300,2022
Census Tract 1601; Cook County; Illinois,322,17,031,160100,2023
Census Tract 1602; Cook County; Illinois,402,17,031,160200,2023
Census Tract 1603; Cook County; Illinois,1041,17,031,160300,2023
Census Tract 1604; Cook County; Illinois,1144,17,031,160400,2023
Census Tract 1605.01; Cook County; Illinois,891,17,031,160501,2023
Census Tract 1605.02; Cook County; Illinois,843,17,031,160502,2023
Census Tract 1606.01; Cook County; Illinois,784,17,031,160601,2023
Census Tract 1606.02; Cook County; Illinois,702,17,031,160602,2023
Census Tract 1607; Cook County; Illinois,1259,17,031,160700,2023
Census Tract 1608; Cook County; Illinois,1238,17,031,160800,2023
Census Tract 1609; Cook County; Illinois,355,17,031,160900,2023
Census Tract 1610; Cook County; Illinois,413,17,031,161000,2023
Census Tract 1611; Cook County; Illinois,196,17,031,161100,2023
Census Tract 1612; Cook County; Illinois,449,17,031,161200,2023
Census Tract 1613; Cook County; Illinois,964,17,031,161300,2023
